,Product,Price,Image,Link,Reviews,Stars,Discount,Tikinow,Badge under price,Installment,gift
219,SSD Samsung PM871B M2.2280 - Hàng Nhập Khẩu,530.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/fa/67/f9/960b8fb59542eda4928f0d9c65f2fdc2.jpg,https://tiki.vn/ssd-samsung-pm871b-m2-2280-hang-nhap-khau-p73398742.html?src=ss-organic,25,5.0,-26%,Yes,Yes,No,No
220,Router Wifi Asus RT-AC1500UHP Băng Tần Kép MU-MIMO - Hàng Chính Hãng,1.699.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/78/33/d4/47673fd784bbbf8b4bed680423861ac0.png,https://tiki.vn/router-wifi-asus-rt-ac1500uhp-bang-tan-kep-mu-mimo-hang-chinh-hang-p44984825.html?src=ss-organic,1,5.0,-15%,No,No,No,No
221,Kaspersky Anti Virus Cho 1 Máy Tính - KAV1U - Hàng chính hãng,152.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/83/f8/78/6caf1407053e45f7faa4cdd29221df3d.jpg,https://tiki.vn/kaspersky-anti-virus-cho-1-may-tinh-kav1u-hang-chinh-hang-p561957.html?src=ss-organic,220,4.8,-16%,Yes,No,No,No
222,Ổ Cứng Di Động HDD WD Black P10 2.5 inch USB 3.2 - Hàng Nhập Khẩu,2.220.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/d6/9f/b3/9d0f40d8d462fea815bc3366a5559f49.jpg,https://tiki.vn/o-cung-di-dong-hdd-wd-black-p10-2-5-inch-usb-3-2-hang-nhap-khau-p76054860.html?src=ss-organic,13,5.0,-26%,Yes,Yes,No,No
223,"Hộp Đựng ổ cứng (HDD Box) 2,5 inch chuẩn kết nối USB 3.0 vỏ nhựa ABS cao cấp Ugreen 30847 - Hàng Chính Hãng",189.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/f1/82/6e/5e1d965c2ed315d8ce93bba40699772f.jpg,https://tiki.vn/hop-dung-o-cung-hdd-box-2-5-inch-chuan-ket-noi-usb-3-0-vo-nhua-abs-cao-cap-chinh-hang-ugreen-30847-p11715709.html?src=ss-organic,83,4.7,-33%,Yes,No,No,No
224,Ổ Cứng Di Động Transcend M3S 2TB Slim USB 3.0/3.1 TS2TSJ25M3S - Hàng Chính Hãng,2.149.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/b2/f6/47/e6401ed900374df8495931c34abf63d3.jpg,https://tiki.vn/o-cung-di-dong-transcend-m3s-2tb-slim-usb-3-0-3-1-ts2tsj25m3s-hang-chinh-hang-p2249747.html?src=ss-organic,48,5.0,-19%,Yes,No,No,No
225,Ổ cứng HDD 500G Western - Hàng Chính Hãng,381.000 ₫,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,https://tiki.vn/o-cung-hdd-500g-western-hang-chinh-hang-p27654198.html?src=ss-organic,48,4.6,-49%,Yes,Yes,No,No
226,Vỏ Hộp đựng ổ cứng 3.5 inch Sata/USB 3.0 hỗ trợ 10TB UGREEN 50422 - Hàng Chính Hãng,370.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/c3/64/87/61557a776889f78714aa392173126e68.jpg,https://tiki.vn/vo-hop-dung-o-cung-3-5-inch-sata-usb-3-0-ho-tro-10tb-ugreen-50422-hang-chinh-hang-p6816557.html?src=ss-organic,95,4.8,-26%,Yes,No,No,No
227,Laptop HP ProBook 445 G7 1A1A4PA (AMD R3-4300U/ 4GB DDR4 3200MHz/ 256GB SSD M.2 PCIE/ 14 HD/ Win10) - Hàng Chính Hãng,12.219.000 ₫,https://salt.tikicdn.com/cache/280x280/ts/product/15/88/5a/34f667beec1f0f29ae21310b8735e98a.jpg,https://tiki.vn/laptop-hp-probook-445-g7-1a1a4pa-amd-r3-4300u-4gb-ddr4-3200mhz-256gb-ssd-m-2-pcie-14-hd-win10-hang-chinh-hang-p59081231.html?src=ss-organic,6,4.8,-6%,Yes,Yes,Yes,No
228,"Laptop HP ProBook 440 G8, Core i5-1135G7,8GB RAM,256GB SSD,Intel Graphics,14""FHD,Fingerprint,3cell,Win 10 Home 64,Silver_2H0S6PA - Hàng Chính Hãng",18.990.000 ₫,https://salt.tikicdn.com/ts/upload/f3/74/46/f4c52053d220e94a047410420eaf9faf.png,https://tiki.vn/laptop-hp-probook-440-g8-core-i5-1135g7-8gb-ram-256gb-ssd-intel-graphics-14-fhd-fingerprint-3cell-win-10-home-64-silver_2h0s6pa-hang-chinh-hang-p77729571.html?src=ss-organic,2,5.0,-4%,Yes,No,No,No
